,Date,ID,Name,Number Sold,Discount,Price,Event,Weather,Restaurant Type,Restaurant ID,Restaurant Address,Restaurant Annual Sale
0,2024-06-01,P008,Dish 1,1030,0.25,33,,Rainy,Bar,R138,Sham Shui Po,161611
1,2024-06-01,P008,Dish 2,802,0.25,19,,Rainy,Bar,R138,Sham Shui Po,161611
2,2024-06-01,P008,Dish 3,664,0.25,50,,Rainy,Bar,R138,Sham Shui Po,161611
3,2024-06-01,P008,Dish 4,1205,0.25,16,,Rainy,Bar,R138,Sham Shui Po,161611
4,2024-06-02,P009,Dish 1,769,0.1,44,,Sunny,Bar,R138,Sham Shui Po,161611
5,2024-06-02,P009,Dish 2,892,0.1,50,,Sunny,Bar,R138,Sham Shui Po,161611
6,2024-06-02,P009,Dish 3,734,0.1,21,,Sunny,Bar,R138,Sham Shui Po,161611
7,2024-06-02,P009,Dish 4,1277,0.1,13,,Sunny,Bar,R138,Sham Shui Po,161611
8,2024-06-03,P010,Dish 1,490,0.1,14,,Rainy,Bar,R138,Sham Shui Po,161611
9,2024-06-03,P010,Dish 2,417,0.1,47,,Rainy,Bar,R138,Sham Shui Po,161611
10,2024-06-03,P010,Dish 3,460,0.1,48,,Rainy,Bar,R138,Sham Shui Po,161611
11,2024-06-03,P010,Dish 4,379,0.1,41,,Rainy,Bar,R138,Sham Shui Po,161611
12,2024-06-04,P011,Dish 1,794,0.1,20,,Sunny,Bar,R138,Sham Shui Po,161611
13,2024-06-04,P011,Dish 2,616,0.1,45,,Sunny,Bar,R138,Sham Shui Po,161611
14,2024-06-04,P011,Dish 3,538,0.1,36,,Sunny,Bar,R138,Sham Shui Po,161611
15,2024-06-04,P011,Dish 4,714,0.1,24,,Sunny,Bar,R138,Sham Shui Po,161611
16,2024-06-05,P012,Dish 1,804,0.2,10,,Sunny,Bar,R138,Sham Shui Po,161611
17,2024-06-05,P012,Dish 2,893,0.2,11,,Sunny,Bar,R138,Sham Shui Po,161611
18,2024-06-05,P012,Dish 3,594,0.2,48,,Sunny,Bar,R138,Sham Shui Po,161611
19,2024-06-05,P012,Dish 4,850,0.2,18,,Sunny,Bar,R138,Sham Shui Po,161611
20,2024-06-06,P013,Dish 1,604,0.05,31,,Sunny,Bar,R138,Sham Shui Po,161611
21,2024-06-06,P013,Dish 2,457,0.05,46,,Sunny,Bar,R138,Sham Shui Po,161611
22,2024-06-06,P013,Dish 3,491,0.05,36,,Sunny,Bar,R138,Sham Shui Po,161611
23,2024-06-06,P013,Dish 4,487,0.05,41,,Sunny,Bar,R138,Sham Shui Po,161611
24,2024-06-07,P014,Dish 1,691,0.2,11,,Rainy,Bar,R138,Sham Shui Po,161611
25,2024-06-07,P014,Dish 2,458,0.2,34,,Rainy,Bar,R138,Sham Shui Po,161611
26,2024-06-07,P014,Dish 3,516,0.2,11,,Rainy,Bar,R138,Sham Shui Po,161611
27,2024-06-07,P014,Dish 4,466,0.2,24,,Rainy,Bar,R138,Sham Shui Po,161611
28,2024-06-08,P015,Dish 1,667,0.1,17,,Sunny,Bar,R138,Sham Shui Po,161611
29,2024-06-08,P015,Dish 2,534,0.1,44,,Sunny,Bar,R138,Sham Shui Po,161611
30,2024-06-08,P015,Dish 3,689,0.1,18,,Sunny,Bar,R138,Sham Shui Po,161611
31,2024-06-08,P015,Dish 4,770,0.1,18,,Sunny,Bar,R138,Sham Shui Po,161611
32,2024-06-09,P016,Dish 1,533,0.0,36,,Sunny,Bar,R138,Sham Shui Po,161611
33,2024-06-09,P016,Dish 2,412,0.0,42,,Sunny,Bar,R138,Sham Shui Po,161611
34,2024-06-09,P016,Dish 3,479,0.0,32,,Sunny,Bar,R138,Sham Shui Po,161611
35,2024-06-09,P016,Dish 4,520,0.0,10,,Sunny,Bar,R138,Sham Shui Po,161611
36,2024-06-10,P017,Dish 1,532,0.0,16,,Rainy,Bar,R138,Sham Shui Po,161611
37,2024-06-10,P017,Dish 2,532,0.0,25,,Rainy,Bar,R138,Sham Shui Po,161611
38,2024-06-10,P017,Dish 3,500,0.0,31,,Rainy,Bar,R138,Sham Shui Po,161611
39,2024-06-10,P017,Dish 4,428,0.0,28,,Rainy,Bar,R138,Sham Shui Po,161611
40,2024-06-11,P018,Dish 1,790,0.25,36,,Rainy,Bar,R138,Sham Shui Po,161611
41,2024-06-11,P018,Dish 2,640,0.25,15,,Rainy,Bar,R138,Sham Shui Po,161611
42,2024-06-11,P018,Dish 3,529,0.25,10,,Rainy,Bar,R138,Sham Shui Po,161611
43,2024-06-11,P018,Dish 4,589,0.25,20,,Rainy,Bar,R138,Sham Shui Po,161611
44,2024-06-12,P019,Dish 1,790,0.25,20,,Sunny,Bar,R138,Sham Shui Po,161611
45,2024-06-12,P019,Dish 2,661,0.25,48,,Sunny,Bar,R138,Sham Shui Po,161611
46,2024-06-12,P019,Dish 3,821,0.25,48,,Sunny,Bar,R138,Sham Shui Po,161611
47,2024-06-12,P019,Dish 4,1323,0.25,12,,Sunny,Bar,R138,Sham Shui Po,161611
48,2024-06-13,P020,Dish 1,835,0.25,40,,Sunny,Bar,R138,Sham Shui Po,161611
49,2024-06-13,P020,Dish 2,685,0.25,49,,Sunny,Bar,R138,Sham Shui Po,161611
50,2024-06-13,P020,Dish 3,948,0.25,48,,Sunny,Bar,R138,Sham Shui Po,161611
51,2024-06-13,P020,Dish 4,767,0.25,25,,Sunny,Bar,R138,Sham Shui Po,161611
52,2024-06-14,P021,Dish 1,641,0.1,29,,Sunny,Bar,R138,Sham Shui Po,161611
53,2024-06-14,P021,Dish 2,421,0.1,33,,Sunny,Bar,R138,Sham Shui Po,161611
54,2024-06-14,P021,Dish 3,583,0.1,19,,Sunny,Bar,R138,Sham Shui Po,161611
55,2024-06-14,P021,Dish 4,490,0.1,45,,Sunny,Bar,R138,Sham Shui Po,161611
56,2024-06-15,P022,Dish 1,869,0.2,35,,Windy,Bar,R138,Sham Shui Po,161611
57,2024-06-15,P022,Dish 2,602,0.2,41,,Windy,Bar,R138,Sham Shui Po,161611
58,2024-06-15,P022,Dish 3,668,0.2,48,,Windy,Bar,R138,Sham Shui Po,161611
59,2024-06-15,P022,Dish 4,974,0.2,17,,Windy,Bar,R138,Sham Shui Po,161611
60,2024-06-16,P023,Dish 1,809,0.1,10,,Sunny,Bar,R138,Sham Shui Po,161611
61,2024-06-16,P023,Dish 2,767,0.1,23,,Sunny,Bar,R138,Sham Shui Po,161611
62,2024-06-16,P023,Dish 3,558,0.1,34,,Sunny,Bar,R138,Sham Shui Po,161611
63,2024-06-16,P023,Dish 4,669,0.1,40,,Sunny,Bar,R138,Sham Shui Po,161611
64,2024-06-17,P024,Dish 1,500,0.0,12,,Rainy,Bar,R138,Sham Shui Po,161611
65,2024-06-17,P024,Dish 2,457,0.0,20,,Rainy,Bar,R138,Sham Shui Po,161611
66,2024-06-17,P024,Dish 3,392,0.0,13,,Rainy,Bar,R138,Sham Shui Po,161611
67,2024-06-17,P024,Dish 4,339,0.0,48,,Rainy,Bar,R138,Sham Shui Po,161611
68,2024-06-18,P025,Dish 1,525,0.1,34,,Rainy,Bar,R138,Sham Shui Po,161611
69,2024-06-18,P025,Dish 2,553,0.1,17,,Rainy,Bar,R138,Sham Shui Po,161611
70,2024-06-18,P025,Dish 3,651,0.1,14,,Rainy,Bar,R138,Sham Shui Po,161611
71,2024-06-18,P025,Dish 4,398,0.1,39,,Rainy,Bar,R138,Sham Shui Po,161611
72,2024-06-19,P026,Dish 1,758,0.0,27,,Windy,Bar,R138,Sham Shui Po,161611
73,2024-06-19,P026,Dish 2,511,0.0,44,,Windy,Bar,R138,Sham Shui Po,161611
74,2024-06-19,P026,Dish 3,446,0.0,50,,Windy,Bar,R138,Sham Shui Po,161611
75,2024-06-19,P026,Dish 4,713,0.0,25,,Windy,Bar,R138,Sham Shui Po,161611
76,2024-06-20,P027,Dish 1,648,0.05,15,,Sunny,Bar,R138,Sham Shui Po,161611
77,2024-06-20,P027,Dish 2,386,0.05,43,,Sunny,Bar,R138,Sham Shui Po,161611
78,2024-06-20,P027,Dish 3,403,0.05,44,,Sunny,Bar,R138,Sham Shui Po,161611
79,2024-06-20,P027,Dish 4,648,0.05,26,,Sunny,Bar,R138,Sham Shui Po,161611
80,2024-06-21,P028,Dish 1,894,0.2,36,,Windy,Bar,R138,Sham Shui Po,161611
81,2024-06-21,P028,Dish 2,745,0.2,22,,Windy,Bar,R138,Sham Shui Po,161611
82,2024-06-21,P028,Dish 3,1003,0.2,11,,Windy,Bar,R138,Sham Shui Po,161611
83,2024-06-21,P028,Dish 4,1002,0.2,22,,Windy,Bar,R138,Sham Shui Po,161611
84,2024-06-22,P029,Dish 1,1200,0.05,19,,Sunny,Bar,R138,Sham Shui Po,161611
85,2024-06-22,P029,Dish 2,981,0.05,32,,Sunny,Bar,R138,Sham Shui Po,161611
86,2024-06-22,P029,Dish 3,811,0.05,36,,Sunny,Bar,R138,Sham Shui Po,161611
87,2024-06-22,P029,Dish 4,610,0.05,41,,Sunny,Bar,R138,Sham Shui Po,161611
88,2024-06-23,P030,Dish 1,1114,0.2,29,,Windy,Bar,R138,Sham Shui Po,161611
89,2024-06-23,P030,Dish 2,941,0.2,48,,Windy,Bar,R138,Sham Shui Po,161611
